order_id,customer_id,order_number,order_date,required_date,shipped_date,status,total_amount,tax_amount,shipping_fee,payment_method,shipping_provider,tracking_number,source_channel,notes
ORD-0241893-B3EA,CUST-388384-5FFF,PO-241893,2023-10-13 21:57:17,2023-10-18 21:57:17,,Pending,274.82,20.36,0.00,Credit Card,,,Web,
ORD-0241894-5CC4,CUST-056515-0ECE,PO-241894,2023-12-10 01:19:13,2023-12-15 01:19:13,,Pending,1136.64,84.2,0.00,Credit Card,,,Web,
ORD-0241895-C219,CUST-292878-9AD0,PO-241895,2025-04-17 03:51:19,2025-04-22 03:51:19,2025-04-19 03:51:19,Delivered,310.59,23.01,0.00,Credit Card,UPS,1Z241895,Web,
ORD-0241896-251C,CUST-185099-72DB,PO-241896,2025-07-19 10:15:00,2025-07-24 10:15:00,,Pending,434.53,32.19,0.00,Credit Card,,,Web,
ORD-0241897-9FCB,CUST-312413-3D3F,PO-241897,2026-01-27 12:29:16,2026-02-01 12:29:16,2026-01-29 12:29:16,Shipped,823.15,60.97,0.00,Credit Card,UPS,1Z241897,Web,
ORD-0241898-5AB6,CUST-243325-16DC,PO-241898,2026-01-28 17:34:32,2026-02-02 17:34:32,,Pending,626.46,46.4,0.00,Credit Card,,,Web,
ORD-0241899-F4DD,CUST-491757-EC39,PO-241899,2025-02-17 04:57:04,2025-02-22 04:57:04,2025-02-19 04:57:04,Shipped,1100.24,81.5,0.00,Credit Card,UPS,1Z241899,Web,
ORD-0241900-110D,CUST-134596-8158,PO-241900,2025-10-20 12:12:07,2025-10-25 12:12:07,2025-10-22 12:12:07,Delivered,434.96,32.22,0.00,Credit Card,UPS,1Z241900,Web,
ORD-0241901-69F6,CUST-456657-7B34,PO-241901,2023-11-19 23:21:53,2023-11-24 23:21:53,,Processing,1819.65,134.79,0.00,Credit Card,,,Web,
ORD-0241902-6493,CUST-461171-081E,PO-241902,2024-10-08 07:30:08,2024-10-13 07:30:08,,Pending,1899.47,140.7,0.00,Credit Card,,,Web,
ORD-0241903-910D,CUST-153958-A7A0,PO-241903,2026-02-19 05:19:33,2026-02-24 05:19:33,2026-02-21 05:19:33,Shipped,158.11,11.71,0.00,Credit Card,UPS,1Z241903,Web,
ORD-0241904-7B06,CUST-186109-0312,PO-241904,2024-08-16 11:39:16,2024-08-21 11:39:16,,Pending,1346.68,99.75,0.00,Credit Card,,,Web,
