order_id,customer_id,order_number,order_date,required_date,shipped_date,status,total_amount,tax_amount,shipping_fee,payment_method,shipping_provider,tracking_number,source_channel,notes
ORD-0935530-38E7,CUST-194431-8AA5,PO-935530,2025-01-15 07:57:32,2025-01-20 07:57:32,2025-01-17 07:57:32,Shipped,1742.44,129.07,0.00,Credit Card,UPS,1Z935530,Web,
ORD-0935531-A1B5,CUST-287022-2CFF,PO-935531,2025-12-21 02:51:06,2025-12-26 02:51:06,2025-12-23 02:51:06,Delivered,51.25,3.8,0.00,Credit Card,UPS,1Z935531,Web,
ORD-0935532-A781,CUST-020192-E604,PO-935532,2024-11-17 01:07:13,2024-11-22 01:07:13,,Processing,415.45,30.77,0.00,Credit Card,,,Web,
ORD-0935533-BECF,CUST-136868-2439,PO-935533,2023-07-04 21:48:08,2023-07-09 21:48:08,2023-07-06 21:48:08,Delivered,950.23,70.39,0.00,Credit Card,UPS,1Z935533,Web,
ORD-0935534-3B58,CUST-205910-2F44,PO-935534,2024-06-02 02:10:16,2024-06-07 02:10:16,2024-06-04 02:10:16,Shipped,945.44,70.03,0.00,Credit Card,UPS,1Z935534,Web,
ORD-0935535-2EF6,CUST-053392-4EA6,PO-935535,2024-10-31 19:25:41,2024-11-05 19:25:41,2024-11-02 19:25:41,Delivered,770.47,57.07,0.00,Credit Card,UPS,1Z935535,Web,
ORD-0935536-A2AF,CUST-218210-8B43,PO-935536,2024-01-02 00:07:50,2024-01-07 00:07:50,,Pending,808.38,59.88,0.00,Credit Card,,,Web,
ORD-0935537-4338,CUST-055021-A0B5,PO-935537,2024-11-29 02:59:58,2024-12-04 02:59:58,2024-12-01 02:59:58,Delivered,952.08,70.52,0.00,Credit Card,UPS,1Z935537,Web,
ORD-0935538-B7D2,CUST-087420-37FE,PO-935538,2026-01-02 03:22:24,2026-01-07 03:22:24,2026-01-04 03:22:24,Delivered,250.92,18.59,0.00,Credit Card,UPS,1Z935538,Web,
ORD-0935539-EC11,CUST-360573-8247,PO-935539,2024-10-30 12:41:02,2024-11-04 12:41:02,2024-11-01 12:41:02,Shipped,1422.07,105.34,0.00,Credit Card,UPS,1Z935539,Web,
ORD-0935540-BFC8,CUST-052598-94B9,PO-935540,2023-08-02 07:49:28,2023-08-07 07:49:28,2023-08-04 07:49:28,Delivered,116.32,8.62,0.00,Credit Card,UPS,1Z935540,Web,
ORD-0935541-B345,CUST-333257-AC21,PO-935541,2023-07-17 14:57:43,2023-07-22 14:57:43,,Pending,1935.94,143.4,0.00,Credit Card,,,Web,
ORD-0935542-6168,CUST-222014-C8D1,PO-935542,2026-02-23 14:53:55,2026-02-28 14:53:55,,Processing,260.46,19.29,0.00,Credit Card,,,Web,
ORD-0935543-3A4A,CUST-217567-981B,PO-935543,2026-06-06 02:35:18,2026-06-11 02:35:18,2026-06-08 02:35:18,Delivered,513.82,38.06,0.00,Credit Card,UPS,1Z935543,Web,
ORD-0935544-F3E9,CUST-044888-798A,PO-935544,2023-11-24 02:58:51,2023-11-29 02:58:51,2023-11-26 02:58:51,Delivered,142.53,10.56,0.00,Credit Card,UPS,1Z935544,Web,
ORD-0935545-E098,CUST-161682-0186,PO-935545,2026-03-08 02:11:40,2026-03-13 02:11:40,2026-03-10 02:11:40,Shipped,589.03,43.63,0.00,Credit Card,UPS,1Z935545,Web,
ORD-0935546-3A45,CUST-135362-7091,PO-935546,2025-08-25 17:11:03,2025-08-30 17:11:03,,Processing,193.27,14.32,0.00,Credit Card,,,Web,
ORD-0935547-3DE1,CUST-334203-191B,PO-935547,2024-11-19 09:29:53,2024-11-24 09:29:53,2024-11-21 09:29:53,Delivered,179.04,13.26,0.00,Credit Card,UPS,1Z935547,Web,
ORD-0935548-2093,CUST-256403-54F0,PO-935548,2023-10-26 05:51:37,2023-10-31 05:51:37,,Processing,245.31,18.17,0.00,Credit Card,,,Web,
ORD-0935549-C4CF,CUST-370453-B8DD,PO-935549,2025-07-15 14:16:38,2025-07-20 14:16:38,2025-07-17 14:16:38,Delivered,1102.12,81.64,0.00,Credit Card,UPS,1Z935549,Web,
ORD-0935550-94E3,CUST-180186-3B9C,PO-935550,2025-06-20 04:28:07,2025-06-25 04:28:07,2025-06-22 04:28:07,Delivered,247.63,18.34,0.00,Credit Card,UPS,1Z935550,Web,
ORD-0935551-D3B8,CUST-110950-EDE2,PO-935551,2024-02-27 00:13:15,2024-03-03 00:13:15,2024-02-29 00:13:15,Delivered,848.33,62.84,0.00,Credit Card,UPS,1Z935551,Web,
ORD-0935552-C02E,CUST-498840-A272,PO-935552,2026-05-21 19:47:30,2026-05-26 19:47:30,2026-05-23 19:47:30,Shipped,1203.16,89.12,0.00,Credit Card,UPS,1Z935552,Web,
ORD-0935553-6ECC,CUST-365718-E3BD,PO-935553,2023-12-28 08:54:15,2024-01-02 08:54:15,2023-12-30 08:54:15,Shipped,940.13,69.64,0.00,Credit Card,UPS,1Z935553,Web,
ORD-0935554-F5C4,CUST-206359-B1B2,PO-935554,2023-09-12 07:27:19,2023-09-17 07:27:19,,Pending,273.18,20.24,0.00,Credit Card,,,Web,
ORD-0935555-DBAB,CUST-221767-8DF7,PO-935555,2024-04-12 00:20:12,2024-04-17 00:20:12,,Processing,1105.12,81.86,0.00,Credit Card,,,Web,
ORD-0935556-24C4,CUST-255626-9760,PO-935556,2025-10-09 21:21:10,2025-10-14 21:21:10,2025-10-11 21:21:10,Delivered,323.09,23.93,0.00,Credit Card,UPS,1Z935556,Web,
