order_id,customer_id,order_number,order_date,required_date,shipped_date,status,total_amount,tax_amount,shipping_fee,payment_method,shipping_provider,tracking_number,source_channel,notes
ORD-0557429-716E,CUST-165772-CBBC,PO-557429,2023-11-12 01:09:08,2023-11-17 01:09:08,,Processing,57.59,4.27,0.00,Credit Card,,,Web,
ORD-0557430-7671,CUST-477894-EDBD,PO-557430,2025-02-21 18:38:47,2025-02-26 18:38:47,,Processing,238.85,17.69,0.00,Credit Card,,,Web,
ORD-0557431-0AE3,CUST-390487-93CB,PO-557431,2025-12-08 23:48:49,2025-12-13 23:48:49,2025-12-10 23:48:49,Shipped,1569.35,116.25,0.00,Credit Card,UPS,1Z557431,Web,
ORD-0557432-89E8,CUST-498772-283F,PO-557432,2026-01-07 22:20:23,2026-01-12 22:20:23,2026-01-09 22:20:23,Shipped,428.45,31.74,0.00,Credit Card,UPS,1Z557432,Web,
ORD-0557433-59E4,CUST-330607-45E4,PO-557433,2025-06-04 02:27:13,2025-06-09 02:27:13,,Processing,201.16,14.9,0.00,Credit Card,,,Web,
ORD-0557434-34D7,CUST-321501-C1DB,PO-557434,2024-07-18 21:58:43,2024-07-23 21:58:43,,Pending,1054.47,78.11,0.00,Credit Card,,,Web,
ORD-0557435-925A,CUST-281282-DB6D,PO-557435,2026-02-08 23:26:12,2026-02-13 23:26:12,,Pending,1297.94,96.14,0.00,Credit Card,,,Web,
ORD-0557436-2CBD,CUST-216626-BF28,PO-557436,2025-05-25 16:00:36,2025-05-30 16:00:36,2025-05-27 16:00:36,Shipped,656.91,48.66,0.00,Credit Card,UPS,1Z557436,Web,
ORD-0557437-42A0,CUST-020247-B618,PO-557437,2024-05-28 03:02:03,2024-06-02 03:02:03,2024-05-30 03:02:03,Shipped,364.99,27.04,0.00,Credit Card,UPS,1Z557437,Web,
ORD-0557438-1262,CUST-450779-7D8C,PO-557438,2026-05-30 02:20:32,2026-06-04 02:20:32,2026-06-01 02:20:32,Shipped,642.71,47.61,0.00,Credit Card,UPS,1Z557438,Web,
ORD-0557439-7CF7,CUST-475365-C4AF,PO-557439,2024-04-26 16:34:43,2024-05-01 16:34:43,2024-04-28 16:34:43,Delivered,1342.83,99.47,0.00,Credit Card,UPS,1Z557439,Web,
ORD-0557440-4005,CUST-413521-E8B7,PO-557440,2024-11-25 16:15:38,2024-11-30 16:15:38,,Pending,83.04,6.15,0.00,Credit Card,,,Web,
ORD-0557441-27A8,CUST-192639-8D00,PO-557441,2024-01-28 10:53:07,2024-02-02 10:53:07,2024-01-30 10:53:07,Delivered,1763.6,130.64,0.00,Credit Card,UPS,1Z557441,Web,
ORD-0557442-1AFE,CUST-405400-829E,PO-557442,2024-12-09 09:46:09,2024-12-14 09:46:09,2024-12-11 09:46:09,Delivered,1707.62,126.49,0.00,Credit Card,UPS,1Z557442,Web,
