order_item_id,order_id,product_id,quantity,unit_price,discount_applied
LINE-0116014-1-897D,ORD-0116014-9C43,PROD-03149-D3ED,1,100.52,0.00
LINE-0116014-2-4B9C,ORD-0116014-9C43,PROD-03466-DE47,3,17.73,0.00
LINE-0116014-3-B58C,ORD-0116014-9C43,PROD-04866-5874,4,81.16,0.00
LINE-0116015-1-C86A,ORD-0116015-5577,PROD-02868-95D9,2,97.38,0.00
LINE-0116015-2-D78C,ORD-0116015-5577,PROD-01007-564A,4,68.53,0.00
LINE-0116015-3-1192,ORD-0116015-5577,PROD-00843-4CDB,4,148.17,0.00
LINE-0116016-1-CD97,ORD-0116016-2A79,PROD-00868-3499,1,76.93,0.00
LINE-0116017-1-E505,ORD-0116017-AB87,PROD-01991-F517,4,236.02,0.00
LINE-0116017-2-F8DD,ORD-0116017-AB87,PROD-02325-2977,4,225.29,0.00
LINE-0116018-1-48AE,ORD-0116018-3393,PROD-04297-0AD3,1,248.51,0.00
LINE-0116018-2-A88A,ORD-0116018-3393,PROD-00378-74F5,3,233.34,0.00
LINE-0116019-1-59D5,ORD-0116019-2BFE,PROD-02849-ED33,2,25.74,0.00
LINE-0116019-2-DFE1,ORD-0116019-2BFE,PROD-00401-05F4,3,116.79,0.00
LINE-0116019-3-61A0,ORD-0116019-2BFE,PROD-04808-9599,3,75.25,0.00
LINE-0116020-1-9765,ORD-0116020-38B1,PROD-01511-F56E,2,176.6,0.00
LINE-0116021-1-7AB7,ORD-0116021-D364,PROD-00670-41BC,4,72.4,0.00
LINE-0116022-1-A8D5,ORD-0116022-CA00,PROD-02663-7FF2,3,118.79,0.00
LINE-0116022-2-441C,ORD-0116022-CA00,PROD-00864-4892,2,220.81,0.00
LINE-0116023-1-A318,ORD-0116023-AAD7,PROD-00711-D83A,3,95.24,0.00
LINE-0116023-2-2728,ORD-0116023-AAD7,PROD-02173-AD8E,1,214.94,0.00
LINE-0116023-3-3E4B,ORD-0116023-AAD7,PROD-02550-F571,1,102.35,0.00
LINE-0116024-1-38F5,ORD-0116024-B24C,PROD-01947-0DCC,4,81.21,0.00
LINE-0116025-1-C780,ORD-0116025-B12A,PROD-04469-CDB7,1,216.17,0.00
LINE-0116025-2-1F48,ORD-0116025-B12A,PROD-01746-8565,3,33.46,0.00
LINE-0116026-1-46B3,ORD-0116026-5C78,PROD-02660-C7AB,2,134.31,0.00
LINE-0116026-2-7ED1,ORD-0116026-5C78,PROD-04424-57EC,1,199.39,0.00
LINE-0116026-3-493E,ORD-0116026-5C78,PROD-00199-2FA0,2,187.08,0.00
LINE-0116027-1-514E,ORD-0116027-8848,PROD-04626-1766,1,20.39,0.00
LINE-0116028-1-2D9F,ORD-0116028-E0F0,PROD-02817-9790,3,207.87,0.00
LINE-0116028-2-35AC,ORD-0116028-E0F0,PROD-00616-CA98,3,45.86,0.00
LINE-0116029-1-9882,ORD-0116029-813F,PROD-02728-F2AA,1,87.07,0.00
LINE-0116029-2-7AA3,ORD-0116029-813F,PROD-01806-472D,2,232.77,0.00
LINE-0116030-1-8556,ORD-0116030-1678,PROD-02173-AD8E,2,127.97,0.00
LINE-0116030-2-E683,ORD-0116030-1678,PROD-00180-D5EB,4,168.97,0.00
LINE-0116031-1-F075,ORD-0116031-6950,PROD-03091-492F,4,94.84,0.00
LINE-0116032-1-F2C4,ORD-0116032-3752,PROD-03023-EB41,1,142.19,0.00
LINE-0116032-2-58A5,ORD-0116032-3752,PROD-04505-68CF,4,42.87,0.00
LINE-0116032-3-7133,ORD-0116032-3752,PROD-03919-4C78,4,55.59,0.00
LINE-0116033-1-40B7,ORD-0116033-20E8,PROD-01664-2D66,1,166.75,0.00
LINE-0116034-1-0B8B,ORD-0116034-9F77,PROD-02578-D076,1,47.19,0.00
LINE-0116034-2-FE97,ORD-0116034-9F77,PROD-00557-F8A2,4,113.46,0.00
LINE-0116035-1-3FCC,ORD-0116035-2768,PROD-02084-EE08,3,236.7,0.00
LINE-0116036-1-49E0,ORD-0116036-8D80,PROD-03125-D7F9,3,102.32,0.00
LINE-0116036-2-A92D,ORD-0116036-8D80,PROD-03682-4531,4,210.25,0.00
LINE-0116036-3-6ADA,ORD-0116036-8D80,PROD-01262-0C50,3,17.92,0.00
LINE-0116037-1-801A,ORD-0116037-29E1,PROD-03884-7A0B,1,246.05,0.00
LINE-0116037-2-0AF1,ORD-0116037-29E1,PROD-03828-4C5D,2,187.95,0.00
LINE-0116038-1-EB74,ORD-0116038-93F3,PROD-00825-87C4,3,50.01,0.00
LINE-0116038-2-EEFA,ORD-0116038-93F3,PROD-04604-8FC1,3,213.04,0.00
LINE-0116039-1-B0A5,ORD-0116039-2B3E,PROD-03445-D2C7,4,157.68,0.00
LINE-0116039-2-2259,ORD-0116039-2B3E,PROD-00047-3ADA,2,45.64,0.00
LINE-0116039-3-AC8E,ORD-0116039-2B3E,PROD-03050-CA9F,3,230.94,0.00
LINE-0116040-1-F18D,ORD-0116040-83FE,PROD-03090-768C,1,99.2,0.00
LINE-0116040-2-52F2,ORD-0116040-83FE,PROD-01877-8EB2,2,38.33,0.00
LINE-0116041-1-88EF,ORD-0116041-3F27,PROD-02275-ECF5,1,141.71,0.00
LINE-0116041-2-643F,ORD-0116041-3F27,PROD-04100-7F2E,1,94.36,0.00
LINE-0116042-1-28C2,ORD-0116042-3CD0,PROD-04368-E339,4,46.05,0.00
LINE-0116043-1-E928,ORD-0116043-5849,PROD-04547-5512,1,125.72,0.00
LINE-0116043-2-B4C9,ORD-0116043-5849,PROD-00831-1B2B,3,40.87,0.00
LINE-0116043-3-E57D,ORD-0116043-5849,PROD-01910-32EB,4,53.47,0.00
LINE-0116044-1-2F5D,ORD-0116044-298E,PROD-01258-A70A,4,196.86,0.00
LINE-0116044-2-3379,ORD-0116044-298E,PROD-03627-F5C5,1,54.61,0.00
LINE-0116044-3-3CAA,ORD-0116044-298E,PROD-02627-5E27,4,159.72,0.00
LINE-0116045-1-98C3,ORD-0116045-DDC3,PROD-04950-63CB,3,245.01,0.00
LINE-0116045-2-41F5,ORD-0116045-DDC3,PROD-02134-B68E,3,22.86,0.00
LINE-0116046-1-F632,ORD-0116046-EC23,PROD-04624-B9A1,2,208.69,0.00
LINE-0116046-2-24C7,ORD-0116046-EC23,PROD-03562-1451,3,50.14,0.00
LINE-0116046-3-9D43,ORD-0116046-EC23,PROD-03143-E88F,1,44.17,0.00
LINE-0116047-1-E818,ORD-0116047-261E,PROD-04848-A8D5,4,113.42,0.00
LINE-0116047-2-345B,ORD-0116047-261E,PROD-04927-003E,1,226.25,0.00
LINE-0116048-1-CD06,ORD-0116048-BE47,PROD-04385-E4DF,4,114.07,0.00
LINE-0116049-1-B512,ORD-0116049-87C6,PROD-01892-B2AA,3,19.24,0.00
LINE-0116049-2-9FF0,ORD-0116049-87C6,PROD-02663-7FF2,1,81.65,0.00
LINE-0116049-3-C11D,ORD-0116049-87C6,PROD-00660-DF6C,1,174.98,0.00
LINE-0116050-1-4F5D,ORD-0116050-A84B,PROD-02979-3BB0,1,132.82,0.00
LINE-0116051-1-046D,ORD-0116051-8EEF,PROD-04697-BF7B,3,197.78,0.00
LINE-0116051-2-DAAC,ORD-0116051-8EEF,PROD-00754-7495,2,135.35,0.00
LINE-0116052-1-D75B,ORD-0116052-9B6E,PROD-01657-2262,3,206.26,0.00
LINE-0116052-2-0C27,ORD-0116052-9B6E,PROD-04350-D7E2,1,181.57,0.00
LINE-0116053-1-F7CF,ORD-0116053-3AFA,PROD-02289-B256,1,140.16,0.00
LINE-0116053-2-8248,ORD-0116053-3AFA,PROD-00723-5AB3,2,205.84,0.00
LINE-0116054-1-AED7,ORD-0116054-CFD0,PROD-00056-6504,2,152.88,0.00
LINE-0116054-2-DFE3,ORD-0116054-CFD0,PROD-02434-0144,1,188.51,0.00
LINE-0116054-3-1518,ORD-0116054-CFD0,PROD-01150-054B,3,203.18,0.00
